Frequency_Hz,Real_Ohm,Imag_Ohm
10000,0.0141683266265318,0.00572537072002888
8923.7412109375,0.0140493336948566,0.00509843975305557
6691.8623046875,0.0137471342459321,0.00377202406525612
5018.1884765625,0.0135776912211441,0.00265621114522219
3763.11059570312,0.0135377531405538,0.00177965359762311
2821.93481445312,0.0135624362446833,0.0010338188149035
2116.15258789062,0.0136551460018381,0.000414315145462751
1586.890625,0.013814197431202,-8.93317628651857e-05
1190,0.0140300270577427,-0.000509054632857442
892.374145507812,0.0142934395553311,-0.000853003293741494
669.186218261719,0.0146003246773034,-0.00113087023783009
501.818878173828,0.0149409007717622,-0.00134252247516997
376.311065673828,0.0153088390070479,-0.00150360108818859
282.193481445312,0.015691610849899,-0.00160577992210165
211.615264892578,0.0160880820585589,-0.00163884105859324
158.689056396484,0.01647404043797,-0.00162827101303264
119.000007629395,0.0168423494706076,-0.00156368548050523
89.2374114990234,0.0171858013400197,-0.00146535907697398
66.9186172485352,0.0174852170030135,-0.00133671263756696
50.181884765625,0.0177394621032363,-0.00118103239947231
37.6311073303223,0.0179560201086133,-0.00102760371373734
28.2193489074707,0.0181289385918717,-0.000879050072398968
21.1615257263184,0.018242257876409,-0.000738314491172787
15.8689060211182,0.0183301461120209,-0.000613437110587256
11.9000005722046,0.0183962413052541,-0.000524115941516357
8.92374134063721,0.0184522823687985,-0.000452647873316891
6.69186210632324,0.0184837754272849,-0.000394387992855627
5.0181884765625,0.0185248664060964,-0.00035871581894753
3.76311063766479,0.0185578464397622,-0.000341928320267471
2.82193493843079,0.018586726158901,-0.00033756312177502
2.11615252494812,0.018635427533809,-0.000347920636613708
1.58689057826996,0.0186642358353311,-0.000368437763881957
1.19000005722046,0.0187102301565574,-0.000404317317816094
0.879999995231628,0.0187693311377188,-0.000464758302314294
0.666760742664337,0.0188324561063382,-0.000525250949863221
0.5,0.0189056884582897,-0.000600109379092828
0.374947100877762,0.0189893730735093,-0.000692182157479238
0.281170666217804,0.0190945168224061,-0.00080983938795498
0.21084825694561,0.0192181325314777,-0.000935186433252966
0.15811388194561,0.019350265866251,-0.00108789300195156
0.118568688631058,0.0195069814376438,-0.0012569582566897
0.0889139696955681,0.0196870810323162,-0.00145983476393496
0.0666760727763176,0.0198738709809732,-0.00170431666079109
0.0500000007450581,0.0200947236344291,-0.00199537640870062
